Comment,Designator,Footprint,LCSC,Quantity
100n,"C1,C12,C17,C2,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525,11
100n,C23,C_0402_1005Metric,C307331,1
100n,"C18,C22,C24",C_0805_2012Metric,C49678,3
10k,"R11,R13,R14,R17,R19,R20",R_0402_1005Metric,C60490,6
10u,C19,C_0402_1005Metric,C15525,1
10u,"C13,C16,C20,C21,C25",C_0805_2012Metric,C15850,5
15p,"C14,C15",C_0805_2012Metric,C107110,2
1k,"R10,R9",R_0402_1005Metric,C11702,2
1u,"C10,C11",C_0402_1005Metric,C52923,2
2.2k,"R3,R4",R_0402_1005Metric,C25879,2
27,"R1,R2",R_0402_1005Metric,C100353,2
330,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630,1
3k,"R12,R18",R_0402_1005Metric,C100635,2
4.7k,"R5,R6",R_0402_1005Metric,C105871,2
470,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710,1
4P4C,"J2,J3",RJ9_Evercom_5301-440xxx_Horizontal,C3097715,2
5.1k,"R7,R8",R_0402_1005Metric,C25905,2
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D2,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598,36
LED,D20,LED_0603_1608Metric,C2286,1
LED,D19,LED_0603_1608Metric,C2290,1
LED_Small,"D39,D40,D41,LD1,LD10,LD11,LD12,LD13,LD14,LD15,LD16,LD17,LD18,LD19,LD2,LD20,LD21,LD22,LD23,LD24,LD25,LD26,LD27,LD28,LD29,LD3,LD30,LD31,LD32,LD33,LD34,LD35,LD36,LD4,LD5,LD6,LD7,LD8,LD9",LED_0603_1608Metric,C2290,39
MCP23017T-E/ML,U6,QFN28_6x6MC_MCH,C629439,1
NCP1117LPST33T3G,"U3,U5",SOT230P700X175-4N,C146799,2
OPT3001DNPR,"U4,U7",SON65P200X200X65-7N,C90462,2
PCA9956BTWY,"IC1,IC2",HTSSOP38_4P4X9P7_NXP,C2678558,2
Polyfuse_Small,"F1,F2,F3",Fuse_1206_3216Metric,C545217,3
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
SW_Push,"OSW1,OSW2",SW_SPST_TL3342,C2886898,2
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560,1
W25Q128JVSIQ,U1,SOIC127P790X216-8N,C97521,1
TestPoint,TP5,TestPoint_Pad_D2.0mm,,1
TestPoint,TP4,TestPoint_Pad_D2.0mm,,1
TestPoint,TP3,TestPoint_Pad_D2.0mm,,1
TestPoint,TP1,TestPoint_Pad_D2.0mm,,1
TestPoint,TP2,TestPoint_Pad_D2.0mm,,1
TestPoint,TP6,TestPoint_Pad_D2.0mm,,1
