Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,258.729376,-193.714123,0.0,top
C10,1u,C_0402_1005Metric,259.229376,-192.704123,0.0,top
C11,1u,C_0402_1005Metric,259.219376,-191.694123,0.0,top
C12,100n,C_0402_1005Metric,262.749376,-193.699123,90.0,top
C13,10u,C_0805_2012Metric,285.499376,-199.524123,0.0,top
C14,15p,C_0805_2012Metric,243.889376,-186.024123,-90.0,top
C15,15p,C_0805_2012Metric,249.539376,-184.114123,90.0,top
C16,10u,C_0805_2012Metric,270.039376,-184.294123,-90.0,top
C17,100n,C_0402_1005Metric,234.219376,-196.487623,-90.0,top
C18,100n,C_0805_2012Metric,247.519376,-200.777623,-135.0,top
C19,10u,C_0402_1005Metric,233.999376,-180.807623,-90.0,top
C2,100n,C_0402_1005Metric,259.229376,-189.964123,0.0,top
C20,10u,C_0805_2012Metric,101.715876,-90.754123,90.0,top
C21,10u,C_0805_2012Metric,113.729376,-88.194123,90.0,top
C22,100n,C_0805_2012Metric,97.385876,-117.164123,45.0,top
C23,100n,C_0402_1005Metric,99.349376,-140.584123,0.0,top
C24,100n,C_0805_2012Metric,100.965876,-120.504123,90.0,top
C25,10u,C_0805_2012Metric,109.869376,-96.004123,-90.0,top
C3,100n,C_0402_1005Metric,256.939376,-183.767623,90.0,top
C4,100n,C_0402_1005Metric,246.869376,-189.984123,180.0,top
C5,100n,C_0402_1005Metric,256.149376,-194.754123,-90.0,top
C6,100n,C_0402_1005Metric,252.549376,-194.744123,-90.0,top
C7,100n,C_0402_1005Metric,252.529376,-183.574123,90.0,top
C8,100n,C_0402_1005Metric,259.869376,-188.954123,0.0,top
C9,100n,C_0402_1005Metric,247.279376,-191.094123,180.0,top
D1,D_Small,D_SOD-123,271.796892,-94.174123,180.0,bottom
D10,D_Small,D_SOD-123,260.366883,-177.994123,180.0,bottom
D11,D_Small,D_SOD-123,231.791892,-94.174123,180.0,bottom
D12,D_Small,D_SOD-123,237.506886,-115.129123,180.0,bottom
D13,D_Small,D_SOD-123,247.984376,-136.084123,180.0,bottom
